state_full,state,cases,deaths
Alabama,AL,46962,1058
Alaska,AK,1226,17
Arizona,AZ,108614,1963
Arkansas,AR,25246,305
California,CA,296075,6713
Colorado,CO,35116,1704
Connecticut,CT,47108,4343
Delaware,DE,12462,515
District of Columbia,DC,10642,564
Florida,FL,223783,3890
Georgia,GA,103890,2922
Guam,GU,307,5
Hawaii,HI,1094,19
Idaho,ID,8969,98
Illinois,IL,150554,7309
Indiana,IN,49063,2732
Iowa,IA,32620,735
Kansas,KS,17748,290
Kentucky,KY,17919,608
Louisiana,LA,70151,3344
Maine,ME,3460,110
Maryland,MD,70861,3275
Massachusetts,MA,110602,8243
Michigan,MI,74551,6262
Minnesota,MN,39589,1523
Mississippi,MS,32888,1188
Missouri,MO,26334,1091
Montana,MT,1371,23
Nebraska,NE,20425,282
Nevada,NV,24301,553
New Hampshire,NH,5952,386
New Jersey,NH,177461,15416
New Mexico,NM,14017,527
New York,NY,424263,32311
North Carolina,NC,77610,1468
North Dakota,ND,3971,85
Northern Mariana Islands,MP,31,2
Ohio,OH,60217,2998
Oklahoma,OK,17893,407
Oregon,OR,10817,224
Pennsylvania,PA,96917,6873
Puerto Rico,PR,8745,159
Rhode Island,RI,17204,971
South Carolina,SC,48909,884
South Dakota,SD,7242,98
Tennessee,TN,55986,685
Texas,TX,229619,2944
Utah,UT,26755,201
Vermont,VT,1256,56
Virgin Islands,VI,122,6
Virginia,VA,67375,1905
Washington,WA,38998,1394
West Virginia,WV,3707,95
Wisconsin,WS,33154,807
Wyoming,WY,1740,21
,,,